Task,Date,StartTime,EndTime,OperationID
Intel Gathering,2024-12-14,01:08:00,11:59:00,34
Reconnaissance Mission,2025-01-07,00:07:00,04:45:00,19
Reconnaissance Mission,2024-12-18,07:34:00,05:00:00,24
Reconnaissance Mission,2024-04-08,21:36:00,08:15:00,44
Border Patrol,2025-03-17,15:22:00,12:50:00,9
Target Elimination,2025-02-22,06:32:00,16:48:00,22
Supply Drop,2025-01-27,14:07:00,15:38:00,20
Border Patrol,2024-12-08,20:14:00,22:13:00,33
Border Patrol,2024-06-10,11:37:00,21:01:00,50
Cyber Warfare Operation,2024-09-13,18:15:00,06:03:00,28
Cyber Warfare Operation,2024-07-27,16:44:00,02:33:00,9
Defense Setup,2025-03-15,13:32:00,14:12:00,8
Intel Gathering,2024-10-25,16:00:00,12:31:00,20
Target Elimination,2024-06-05,05:50:00,06:22:00,14
Night Raid,2024-05-16,18:26:00,09:35:00,9
Training Drill,2025-02-22,12:59:00,22:31:00,13
Target Elimination,2024-07-27,01:00:00,06:19:00,39
Cyber Warfare Operation,2024-10-24,13:56:00,23:58:00,22
Air Support,2024-12-24,19:08:00,14:43:00,40
Night Raid,2024-10-04,11:10:00,14:19:00,11
Surveillance,2025-01-20,21:14:00,02:22:00,18
Training Drill,2025-01-12,15:06:00,03:10:00,13
Night Raid,2024-09-17,21:31:00,05:53:00,1
Combat Exercise,2024-04-03,14:16:00,00:06:00,45
Air Support,2025-02-12,13:47:00,09:54:00,28
Reconnaissance Mission,2024-10-30,10:52:00,03:10:00,7
Covert Infiltration,2024-05-14,22:40:00,08:39:00,18
Air Support,2025-01-04,09:16:00,19:23:00,30
Defense Setup,2024-09-04,21:00:00,12:33:00,9
Cyber Warfare Operation,2024-04-18,09:38:00,19:11:00,20
Air Support,2024-08-20,12:44:00,03:44:00,49
Air Support,2025-01-09,19:12:00,10:26:00,41
Night Raid,2024-07-13,04:39:00,18:03:00,29
Defense Setup,2024-06-29,00:21:00,06:00:00,18
Defense Setup,2024-08-19,11:00:00,01:52:00,44
Target Elimination,2024-10-08,03:43:00,04:06:00,16
Intel Gathering,2024-07-12,19:56:00,05:53:00,37
Night Raid,2025-03-11,02:05:00,23:29:00,15
Combat Exercise,2024-12-08,07:32:00,07:31:00,3
Supply Drop,2025-01-20,15:43:00,07:33:00,33
Surveillance,2024-05-05,08:16:00,09:12:00,28
Training Drill,2024-09-14,11:53:00,21:59:00,32
Surveillance,2025-02-04,11:37:00,19:06:00,32
Supply Drop,2025-03-30,08:09:00,20:10:00,16
Reconnaissance Mission,2024-12-25,21:24:00,00:37:00,8
Target Elimination,2024-07-09,16:52:00,17:41:00,7
Combat Exercise,2024-11-17,02:14:00,01:33:00,27
Target Elimination,2024-08-08,06:03:00,00:54:00,38
Reconnaissance Mission,2025-03-06,18:20:00,20:52:00,5
Rescue Operation,2024-10-21,12:56:00,13:06:00,10
Covert Infiltration,2024-12-15,12:14:00,12:47:00,28
Reconnaissance Mission,2024-04-23,04:47:00,16:19:00,5
Target Elimination,2024-06-29,23:51:00,09:05:00,22
Supply Drop,2024-07-04,05:02:00,16:47:00,34
Covert Infiltration,2024-06-29,03:23:00,19:44:00,19
Air Support,2025-01-26,16:29:00,11:12:00,43
Intel Gathering,2025-01-28,11:51:00,11:08:00,11
Training Drill,2024-08-02,19:51:00,11:04:00,12
Border Patrol,2024-07-31,21:20:00,14:21:00,31
Rescue Operation,2024-08-28,16:05:00,15:59:00,24
Rescue Operation,2025-01-12,12:29:00,06:12:00,33
Combat Exercise,2024-08-25,09:14:00,02:33:00,4
Explosive Disposal,2024-07-11,10:22:00,03:07:00,19
Combat Exercise,2024-11-05,20:35:00,05:45:00,18
Combat Exercise,2024-06-18,02:19:00,14:23:00,17
Rescue Operation,2024-09-18,07:31:00,01:48:00,46
Covert Infiltration,2024-10-13,14:17:00,00:32:00,45
Training Drill,2024-04-03,22:12:00,02:34:00,11
Explosive Disposal,2025-02-23,05:34:00,10:40:00,24
Air Support,2025-01-27,17:41:00,21:43:00,20
Combat Exercise,2025-02-17,10:41:00,04:41:00,2
Explosive Disposal,2024-07-01,06:33:00,12:03:00,44
Night Raid,2024-06-20,10:15:00,03:52:00,20
Rescue Operation,2025-02-05,05:52:00,05:21:00,2
Rescue Operation,2024-08-09,10:39:00,20:30:00,16
Defense Setup,2024-04-23,23:26:00,07:19:00,9
Border Patrol,2024-07-13,19:32:00,18:54:00,24
Border Patrol,2025-02-11,13:52:00,20:29:00,29
Target Elimination,2024-07-15,11:24:00,00:28:00,29
Supply Drop,2024-04-07,02:29:00,14:50:00,9
Night Raid,2024-12-12,02:02:00,00:52:00,17
Intel Gathering,2024-09-11,03:44:00,00:56:00,35
Surveillance,2024-05-27,07:50:00,17:14:00,39
Intel Gathering,2024-08-13,22:23:00,15:48:00,31
Combat Exercise,2025-02-01,12:16:00,20:15:00,48
Intel Gathering,2024-11-26,22:15:00,06:49:00,33
Defense Setup,2024-09-27,08:30:00,23:00:00,38
Defense Setup,2025-02-17,19:47:00,10:48:00,41
Target Elimination,2025-01-12,13:48:00,21:11:00,43
Night Raid,2024-07-21,00:09:00,21:52:00,12
Supply Drop,2024-06-09,23:42:00,20:27:00,32
Surveillance,2024-06-23,09:51:00,23:49:00,5
Border Patrol,2024-04-16,07:38:00,12:51:00,1
Explosive Disposal,2025-01-14,12:25:00,05:42:00,25
Training Drill,2024-12-11,15:40:00,09:23:00,15
Cyber Warfare Operation,2025-01-04,22:31:00,07:05:00,42
Training Drill,2025-03-16,13:11:00,20:24:00,36
Training Drill,2024-07-12,15:33:00,15:36:00,28
Supply Drop,2024-04-14,17:43:00,17:58:00,47
Surveillance,2024-10-20,06:14:00,17:13:00,45
